litert_op_code	qnn_legalization	builder_file	source_line
kLiteRtOpCodeTflReduceAll	::qnn::BuildReduceAllOp	litert/vendors/qualcomm/core/builders/reduce_op_builder.h	1392
kLiteRtOpCodeTflGelu	::qnn::BuildGeluOp	litert/vendors/qualcomm/core/builders/gelu_op_builder.h	1393
kLiteRtOpCodeTflDynamicUpdateSlice	::qnn::BuildDynamicUpdateSliceOp	litert/vendors/qualcomm/core/builders/dynamic_update_slice_op_builder.h	1394
kLiteRtOpCodeTflRelu0To1	::qnn::BuildRelu0To1Op	litert/vendors/qualcomm/core/builders/relu_0to1_op_builder.h	1396
kLiteRtOpCodeTflSign	::qnn::BuildElementwiseSignOp	litert/vendors/qualcomm/core/builders/elementwise_op_builder.h	1397
kLiteRtOpCodeShloComposite	BuildShloCompositeOp (dispatch by composite name)	litert/vendors/qualcomm/compiler/qnn_compose_graph.cc	1398
kLiteRtOpCodeShloComposite:kRmsNorm	::qnn::BuildRmsNormOp	litert/vendors/qualcomm/core/builders/rms_norm_op_builder.h	849
kLiteRtOpCodeShloComposite:kGroupNorm(num_groups==1)	::qnn::BuildLayerNormOp	litert/vendors/qualcomm/core/builders/layer_norm_op_builder.h	857
kLiteRtOpCodeShloComposite:kGroupNorm(num_groups!=1)	::qnn::BuildGroupNormOp	litert/vendors/qualcomm/core/builders/group_norm_op_builder.h	860
kLiteRtOpCodeShloComposite:kL2Norm	::qnn::BuildL2NormOp	litert/vendors/qualcomm/core/builders/l2_norm_op_builder.h	867
